pedigree,P50_GDUs,S50_GDUs
MEVY250482,835.0,835.0
MEVX241051,823.0,823.0
MAUB250831,1005.0,1062.0
MAYX251391,854.0,883.0
MEEC241025,905.0,905.0
MEVY250434,864.0,854.0
MEVW250932,823.0,823.0
MEVW250960,854.0,854.0
MAUB240457,936.0,982.0
MAAA250061,936.0,951.0
MAUB251125,916.0,970.0
MEEE250014,951.0,951.0
MEVW251074,854.0,854.0
MEVX241050,854.0,883.0
MAYX241115,854.0,864.0
MAUB250969,982.0,1005.0
